name,time,nodeid,value
test,1518087420548610816,47235,"7398,30,153,-1258621635,#"
test,1518087420556829952,47235," "
test,1518087420559981056,47235,"28417:48007,30,156,1434871971,#"
test,1518087420561257984,47235," "
test,1518087420561986816,47235,"28417:43654,28,0,-2087605192,#"
test,1518087420562793984,47235," "
test,1518087420563600896,47235,"21767:0,28,0,373184,#"
test,1518087420564624128,47235," "
test,1518087420565639936,47235,"58243:28417,28,3,8973410,#"
test,1518087420566720000,47235," "
test,1518087420567700992,47235,"21767:0,28,3,373445,#"
test,1518087420568674048,47235," "
test,1518087420569552896,47235,"58243:28417,30,153,9737826,#"
test,1518087420570235136,47235," "
test,1518087420571088128,47235,"58243:28417,28,3,8973410,#"
test,1518087420571932928,47235," "
test,1518087420572839936,47235,"58243:28417,28,3,8973410,#"
test,1518087420573668864,47235," "
test,1518087420574324992,47235,"58243:28417,30,153,9737826,#"
test,1518087420575053056,47235," "
test,1518087420575789824,47235,"58243:28417,30,156,9764709,#"
test,1518087420576710912,47235," "
test,1518087420577594880,47235,"58243:28417,28,0,8973149,#"
test,1518087420578511872,47235," "
test,1518087420579183104,47235,"43654:58243,28,3,-933619756,#"
test,1518087420579972096,47235," "
test,1518087420581084928,47235,"27398:48007,28,7,1434081832,#"
test,1518087420581801984,47235," "
test,1518087420582750208,47235,"43654:58243,28,0,-933620017,#"
test,1518087420584366080,47235," "
test,1518087420585142016,47235,"43654:28417,28,0,8973149,#"
test,1518087420585871104,47235," "
test,1518087420586365952,47235,"27398:58243,30,157,-932819380,#"
test,1518087420587304192,47235," "
test,1518087420588187904,47235,"43654:28417,28,3,8973410,#"
test,1518087420589163008,47235," "
test,1518087420589974016,47235,"43654:28417,30,153,9737826,#"
test,1518087420590800128,47235," "
test,1518087420591666944,47235,"27398:58243,28,3,-933619756,#"
test,1518087420592353024,47235," "
test,1518087420593175808,47235,"43654:28417,28,3,8973410,#"
test,1518087420593789184,47235," "
test,1518087420594487040,47235,"27398:58243,28,6,-933618973,#"
test,1518087420595047936,47235," "
test,1518087420595617024,47235,"27398:58243,28,0,-933620017,#"
test,1518087420596365824,47235," "
test,1518087420597601024,47235,"43654:28417,28,3,8973410,#"
test,1518087420598426112,47235," "
test,1518087420599184128,47235,"22406:43654,28,0,-2087605192,#"
test,1518087420600045056,47235," "
test,1518087420601035008,47235,"22406:43654,28,3,-2087604931,#"
test,1518087420601843200,47235," "
test,1518087420602510848,47235,"22406:43654,30,153,-2086840515,#"
test,1518087420603173888,47235," "
test,1518087420603707904,47235,"22406:46599,28,8,1627538779,#"
test,1518087420604454144,47235," "
test,1518087420605241088,47235,"22406:43654,30,153,-2086840515,#"
test,1518087420605950208,47235," "
test,1518087420606535936,47235,"22406:43654,27,14,-2087638081,#"
test,1518087420607214080,47235," "
test,1518087420607793152,47235,"48007:58243,30,156,-932828457,#"
test,1518087420608316928,47235," "
