time,x,y,z,b,t,l,h,label
48187,0.54,0.32,0.79,1006.58,28.62,87.6,55.24,0
48226,0.54,0.32,0.79,1006.58,28.62,87.6,55.24,0
48273,0.54,0.32,0.79,1006.58,28.62,87.6,55.24,0
48320,0.55,0.33,0.79,1006.58,28.62,87.6,55.24,0
48367,0.54,0.32,0.79,1006.58,28.62,87.6,55.24,0
48414,0.54,0.32,0.79,1006.58,28.62,87.6,55.24,0
48460,0.54,0.32,0.79,1006.58,28.62,87.6,55.24,0
48507,0.54,0.32,0.79,1006.58,28.62,87.6,55.24,0
48554,0.55,0.32,0.79,1006.58,28.62,87.6,55.24,0
48601,0.54,0.32,0.79,1006.58,28.62,87.6,55.24,0
48648,0.54,0.32,0.8,1006.58,28.62,87.6,55.24,0
48679,0.54,0.32,0.8,1006.61,28.62,87.6,55.24,0
48695,0.54,0.32,0.79,1006.61,28.62,87.6,55.24,0
48742,0.54,0.33,0.79,1006.61,28.62,87.6,55.24,0
48789,0.54,0.32,0.79,1006.61,28.62,87.6,55.24,0
48835,0.54,0.32,0.79,1006.61,28.62,87.6,55.24,0
48882,0.54,0.33,0.8,1006.61,28.62,87.6,55.24,0
48929,0.54,0.32,0.8,1006.61,28.62,87.6,55.24,0
48976,0.54,0.33,0.78,1006.61,28.62,87.6,55.24,0
49023,0.55,0.33,0.79,1006.61,28.62,87.6,55.24,0
49070,0.54,0.33,0.79,1006.61,28.62,87.6,55.24,0
49117,0.54,0.32,0.79,1006.61,28.62,87.6,55.24,0
49164,0.54,0.32,0.8,1006.61,28.62,87.6,55.24,0
49179,0.54,0.32,0.8,1006.53,28.62,87.6,55.24,0
49187,0.54,0.32,0.8,1006.53,28.62,87.6,55.24,0
49187,0.54,0.32,0.8,1006.53,28.62,88.24,55.24,0
49187,0.54,0.32,0.8,1006.53,28.62,88.24,99.99,0
49226,0.54,0.32,0.79,1006.53,28.62,88.24,99.99,0
49273,0.55,0.32,0.79,1006.53,28.62,88.24,99.99,0
49320,0.55,0.32,0.79,1006.53,28.62,88.24,99.99,0
